"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Get List Users","1","0","Retrieve a list of users from the second page","0"
"0","","0","User Management","1","0","Delayed Response","0"
"0","","0","","5","0","","0"
"0","","0","User Management","1","0","User Deletion","0"
"0","","0","User Management","2","0","User Login","0"
"0","","0","Get Single User","1","0","Retrieve a single user by ID","0"
"0","","0","User API","2","0","Login","0"
"0","","0","User Management","1","0","Update User","0"
"0","","0","User Management","1","0","Patch User","0"
"0","","0","User API","2","0","Register","0"
"0","","0","User API","1","0","Register User","0"
"1","","0","Get: List Users","0","0","Get a list of users with pagination","0"
"0","","0","User Management","2","0","User Registration","0"
"0","","0","User Management","2","0","Create User","0"
"0","","0","User API","1","0","Login User","0"
"0","","0","User API","1","0","Create User","0"
"0","","0","Get Single User","1","0","User Not Found","0"
